screen_name,text,sentiment,score,time
tommeikle,Every other line in this article is some form of conservative delusion/climate change denial/disbelief in... https://t.co/2GAj1tq1eu,neutral,0,Sun Apr 17 16:27:11 +0000 2016
brancl88,"@tedcruz @TheDemocrats please dont reference ""science"" ted cruz when the overwhelming majority of scientists agree on climate change..idiot",neutral,0,Sat Apr 16 22:29:45 +0000 2016
DWStweets,"My high schoolers' science classes covered this one, Sen. Cruz. No need to be a scientist to get it: https://t.co/CKpegm27sK",neutral,0,Sat Apr 16 19:26:56 +0000 2016
FreedomGrafiti,"Let's take a moment to watch Ted Cruz destroy the president of the Sierra Club on climate change. #ChooseCruz #tcot

https://t.co/SKPX9rL904",negative,-0.221088,Sat Apr 16 07:22:27 +0000 2016
kayoneill,Better that Ted Pinocchio Cruz went up against Bill Nye! A presidential hopeful who not only denies warming but... https://t.co/AVjSbMucUt,positive,0.336162,Sat Apr 16 02:26:21 +0000 2016
jnj49,@BillMoyersHQ @juditeva  Today on CNBC Ted Cruz confirmed he does not take climate change seriously and along with DT will drill public land,neutral,0,Sat Apr 16 00:10:30 +0000 2016
CorinneMatti,Ted Cruz: “Carbon dioxide is not a pollutant… carbon dioxide is plant food.” https://t.co/IPiEZWmX7t https://t.co/gAIznV7Q1H,neutral,0,Fri Apr 15 18:53:43 +0000 2016
mzee26,Flashback / BRILLIANT! Watch Ted Cruz DESTROY Sierra Club President on Climate Change https://t.co/8qMDy9qqQz,positive,0.789551,Fri Apr 15 18:28:44 +0000 2016
AmBeachy,'@JoeSquawk asked @tedcruz to weigh in on climate change. Here's what he said. #CruzOnSquawk https://t.co/XahMNp9vxi,negative,-0.029601,Fri Apr 15 18:34:12 +0000 2016
SquawkCNBC,'@JoeSquawk asked @tedcruz to weigh in on climate change. Here's what he said. #CruzOnSquawk https://t.co/D93uTq2RRx,negative,-0.029601,Fri Apr 15 16:49:58 +0000 2016
plarkin,@andrewrsorkin had to sit through Ted Cruz's climate change denial. Only guy with a brain on @SquawkCNBC,negative,-0.431389,Fri Apr 15 13:06:35 +0000 2016
DivineTurbine,Ted Cruz is destroying the panel on #SquawkBox right now on Climate Change @CNBC,negative,-0.316591,Fri Apr 15 12:57:54 +0000 2016
CA_Dem,"Chairman Burton on @tedcruz climate change denial: ""After all, it could be Noah's flood."" https://t.co/2h9130scqL https://t.co/gkE2mek2GG",positive,0.225222,Fri Apr 15 02:14:09 +0000 2016
M_Meeth,Ted Cruz on Squawk Box denying climate change right now 😒,neutral,0,Fri Apr 15 12:56:37 +0000 2016
TarpaulinSimon,"Depressing to read Ted Cruz quoted on fossil fuel, climate change &amp; gun control. Is there an alternate GOP candidate https://t.co/Ht1D8HpxDB",negative,-0.456743,Sun Apr 17 09:16:14 +0000 2016
BMurrays,@MSNBC did Ted Cruz just mention science? Really? No discussion on the right about climate change. Ever!,positive,0.138892,Fri Apr 15 00:53:49 +0000 2016
KiloGrahamGamer,@Darth_Se7en Just gonna say it right now: Ted Cruz is not the #1 preeminent expert on climate change. Look somewhere else :P,negative,-0.00277349,Sun Apr 17 04:31:20 +0000 2016
MaggyBeeee,Katie Couric Interviews Sen. Ted Cruz on Climate Change https://t.co/47JiQJd9Zx via @YouTube,negative,-0.553529,Sun Apr 17 22:43:14 +0000 2016
BigAmericanTool,"Ted Cruz on CNBC: ""climate change is nothing more than an anti-capitalism religion.""  Correct!  It's total fraud. #tcot #GOP #RNC #Trump",negative,-0.0379396,Fri Apr 15 18:53:45 +0000 2016
HughAtkinson,https://t.co/YmqIRzMTJ7 Who is the craziest Sarah Palin or Ted Cruz? Answers on a post card.,negative,-0.4802,Tue Apr 12 20:43:24 +0000 2016
Keybord,"Ted Cruz, you might want to listen to evangelicals on climate change (COMMENTARY) https://t.co/yiOlJrvD0e via @RNS",neutral,0,Tue Apr 12 07:55:41 +0000 2016
Keybord,#LoseCruz! You might want to listen to evangelicals on climate change (COMMENTARY) https://t.co/yiOlJrvD0e via @RNS #Cruz sucks!,negative,-0.850529,Tue Apr 12 07:49:14 +0000 2016
pdxoptions,Seeing Ted Cruz and Joe Kernan on @cnbc deny climate change is a bummer. #hatethoseguys,negative,-0.80418,Fri Apr 15 13:04:13 +0000 2016
MichaelGrande4,Science is good enough  to prove life but doesn't mean shit when it comes to climate change. Ted Cruz on #msnbc. Painful.,negative,-0.560689,Fri Apr 15 00:56:41 +0000 2016
Gengm7,@Gengm7 Ted Cruz supports Global climate change as he supports #TPP that is why ALL THE PUSH BACK on #Trump2016 #VoteTrump #Fight for USA,neutral,0,Wed Apr 13 21:13:07 +0000 2016
ontimefeedback,"Epic response from Ted Cruz on ""climate change"" during interview with NPR.",positive,0.351395,Thu Apr 14 23:46:02 +0000 2016
DAbrahams_USC,Good on Sabin for not conflating realities of climate change with conservative ideals.  https://t.co/YvOFRQWqJH,neutral,0,Thu Apr 14 13:10:44 +0000 2016
mjm488,@jameskann Ted Cruz on climate change? Not sure Trump's views there (if any),negative,-0.308801,Wed Apr 13 02:00:00 +0000 2016
